arn_115	42001010, 42001015, 42001017, 42001034, 42002021, 42003021, 42007012, 42008023, 42008024, 42008042, 42009027, 42009033, 42009034, 42009042, 42009044, 42010024, 42011027, 42011029, 42011038, 42012001, 42012046, 42012058, 42014022, 42014032, 42015020, 42017014, 42018022, 42018035, 42018037, 42019005, 42019013, 42019030, 42019033, 42021006, 42021009, 42021012, 42021032, 42022010, 42022015, 42022034, 42022060, 42022061, 42023053, 42024006, 42024017, 42024026, 42024032, 42024035, 42024044, 42024051, 
cag_104	42001034, 42002021, 42005034, 42014022, 42017012, 42017026, 42017028, 42018021, 42019030, 42021032, 42022034, 42024026, 42024041, 42024044, 
car_98	42002036, 42002040, 42002052, 42003018, 42003021, 42006012, 42008014, 42008049, 42009023, 42009034, 42009041, 42009042, 42010038, 42011007, 42011018, 42011026, 42011029, 42012004, 42012058, 42013025, 42013035, 42014022, 42014032, 42014034, 42014035, 42015019, 42015020, 42015021, 42016002, 42016003, 42016004, 42016025, 42016027, 42017011, 42018009, 42019011, 42019030, 42020036, 42020040, 42022016, 42022018, 42022034, 42022047, 42022060, 42022065, 42022071, 42024006, 42024013, 42024036, 42024044, 42024051, 
cha_148	42014022, 42014032, 42015020, 42018022, 
chr_84	42002002, 42002006, 42012026, 42014032, 42015020, 42016025, 42018022, 42019030, 42021012, 42022037, 42022065, 42022071, 
cop_50	42014026, 42014032, 42015020, 42022060, 
dgi_39	42001015, 42001072, 42002009, 42002032, 42002043, 42003018, 42005033, 42005036, 42006005, 42006018, 42007006, 42007019, 42007020, 42008016, 42008027, 42008049, 42009008, 42009029, 42009034, 42009041, 42009043, 42010016, 42011005, 42011034, 42011035, 42011036, 42013008, 42013033, 42014020, 42014022, 42014032, 42014035, 42015011, 42015019, 42015020, 42015021, 42016002, 42016008, 42016009, 42016031, 42017028, 42018011, 42018022, 42018030, 42019044, 42020040, 42021006, 42021009, 42022047, 42022060, 42022071, 42024006, 42024028, 42024036, 42024044, 
esu_81	42002034, 42002037, 42004024, 42004043, 42005010, 42005033, 42005036, 42006006, 42006026, 42006029, 42008003, 42009008, 42009026, 42009059, 42009061, 42010001, 42010016, 42011009, 42011016, 42011040, 42011045, 42012008, 42012009, 42013003, 42013008, 42013033, 42014006, 42014012, 42014022, 42014026, 42015007, 42015020, 42015029, 42016007, 42016022, 42016026, 42017004, 42017010, 42017024, 42017026, 42017028, 42017030, 42019009, 42019011, 42019020, 42019026, 42020012, 42020032, 42021010, 42021031, 42023002, 42023015, 42023032, 42023042, 42024006, 42024010, 42024022, 
fin_12	42006005, 42008049, 42009008, 42009019, 42009061, 42013006, 42013008, 42013018, 42014022, 42014032, 42015020, 42019020, 42020011, 42020012, 42022047, 42022059, 42022060, 42022065, 42023042, 42023053, 42024006, 42024044, 
gug_94	42001034, 42007009, 42008049, 42012045, 42012050, 42014022, 42014032, 42015020, 42018022, 42019030, 42020038, 42024006, 
hin_5	42006021, 42006025, 42015020, 42024041, 
hnj_14	42001015, 42002034, 42011016, 42011029, 42011030, 42012023, 42021011, 42021025, 42023008, 42024019, 
huu_103	42001005, 42001025, 42001026, 42001034, 42001043, 42001080, 42002021, 42002026, 42005039, 42006029, 42006037, 42006039, 42006043, 42006046, 42007019, 42007020, 42007023, 42008010, 42008016, 42008019, 42008031, 42008049, 42008050, 42009027, 42009034, 42009041, 42009044, 42009059, 42010013, 42011005, 42011014, 42011024, 42011038, 42012008, 42012019, 42012035, 42012039, 42012050, 42012058, 42013001, 42013006, 42013008, 42013018, 42013027, 42013032, 42014022, 42016010, 42016017, 42017022, 42017025, 42017027, 42018022, 42018034, 42019027, 42019030, 42020018, 42020029, 42020038, 42021001, 42021009, 42021012, 42021023, 42021025, 42021032, 42022002, 42022032, 42022034, 42022061, 42023039, 42023040, 42024026, 42024028, 42024029, 42024041, 
ind_150	42002043, 42008049, 42011007, 42014022, 42014032, 42015020, 42018015, 42022047, 42022060, 42024006, 42024041, 42024044, 
jpn_18	
kat_22	42006042, 42009059, 42009061, 42012001, 42014031, 42014032, 42015020, 42019030, 42021009, 42023053, 42024006, 42024041, 
kat_23	42022032, 42023020, 
kor_30	42008049, 42014022, 42014032, 42018022, 42022047, 42023053, 
mhi_51	42001024, 42001036, 42001056, 42002036, 42002037, 42008013, 42008049, 42011017, 42013011, 42014022, 42015020, 42019004, 42021024, 42022047, 42022058, 42024012, 
mtj_170	42001011, 42001021, 42001036, 42002043, 42003021, 42004025, 42006042, 42007024, 42008005, 42008023, 42008049, 42009034, 42009041, 42009043, 42009045, 42011027, 42011034, 42012020, 42012038, 42012045, 42014029, 42014032, 42015020, 42015025, 42016025, 42016028, 42017014, 42017034, 42018022, 42019033, 42020045, 42022045, 42022047, 42022060, 42023031, 42024015, 42024032, 42024036, 42024041, 42024051, 
nav_72	
nav_73	
nyy_40	42002021, 42008049, 42009052, 42011038, 42012040, 42012046, 42015020, 42019013, 42022047, 42022060, 42024006, 
poi_77	42001010, 42001034, 42002005, 42002006, 42002013, 42002021, 42002026, 42003021, 42004001, 42005025, 42007006, 42007012, 42008023, 42008042, 42008049, 42009029, 42009033, 42009034, 42009042, 42009057, 42013004, 42013008, 42015020, 42016025, 42017011, 42017012, 42017014, 42019011, 42019036, 42020045, 42021009, 42022047, 42022060, 42023026, 42023034, 42023049, 42024014, 42024015, 42024017, 42024028, 42024036, 42024040, 42024041, 
sag_36	42001015, 42001021, 42001056, 42001080, 42002008, 42002033, 42002040, 42002043, 42002051, 42002052, 42003018, 42004004, 42004037, 42004044, 42005015, 42005016, 42005034, 42006017, 42006027, 42006035, 42006036, 42006037, 42008029, 42008031, 42008038, 42008039, 42008049, 42009004, 42009017, 42009033, 42009036, 42009041, 42009043, 42010007, 42010009, 42010011, 42010039, 42011007, 42011008, 42011009, 42011018, 42011021, 42011027, 42012002, 42012025, 42012031, 42012035, 42012058, 42013008, 42013022, 42014022, 42014032, 42015001, 42015002, 42015020, 42016002, 42016009, 42016013, 42017031, 42018005, 42018021, 42018039, 42019044, 42019048, 42020028, 42020045, 42021006, 42021023, 42021036, 42022019, 42022028, 42022037, 42022040, 42022044, 42022047, 42022051, 42022054, 42022060, 42023031, 42024029, 42024036, 42024041, 42024049, 
spa_1	42009034, 42013008, 42014022, 42014032, 42023053, 42024006, 42024044, 
spa_2	42018039, 
tam_11	42007047, 42008018, 42009008, 42009041, 42010001, 42011013, 42011053, 42012018, 42012024, 42018039, 42019016, 42019018, 42022044, 42022065, 
tee_82	
tgl_151	42001015, 42002004, 42002026, 42003023, 42004002, 42005029, 42005036, 42005037, 42006005, 42006008, 42006034, 42006037, 42007008, 42007019, 42007020, 42007041, 42008018, 42008049, 42009008, 42009019, 42009042, 42009059, 42010001, 42010016, 42010035, 42011005, 42011013, 42011031, 42011032, 42012004, 42012024, 42012028, 42012038, 42012049, 42012054, 42013006, 42013018, 42013029, 42014019, 42014022, 42014032, 42015015, 42015020, 42016001, 42016002, 42016007, 42016011, 42016012, 42017002, 42017016, 42017017, 42017026, 42018001, 42018010, 42018021, 42018025, 42018030, 42018039, 42019026, 42019027, 42019030, 42019047, 42020036, 42020040, 42021009, 42021010, 42021016, 42021020, 42022047, 42022050, 42022060, 42022068, 42022071, 42023005, 42023034, 42023040, 42023042, 42023049, 42023056, 42024006, 42024009, 42024021, 42024022, 42024024, 42024028, 42024041, 42024044, 
tha_10	42001021, 42001022, 42001039, 42001080, 42002004, 42002008, 42002015, 42002022, 42002026, 42002039, 42002043, 42002051, 42004014, 42004016, 42004031, 42004042, 42005016, 42005034, 42006017, 42007011, 42008031, 42008049, 42009010, 42009043, 42009045, 42010030, 42011013, 42011024, 42012027, 42012028, 42012049, 42013022, 42014008, 42014022, 42014032, 42015017, 42015020, 42016026, 42016027, 42017011, 42017024, 42018007, 42018022, 42018031, 42019028, 42019030, 42021009, 42021012, 42021021, 42022024, 42022039, 42022047, 42022060, 42022071, 42023031, 42023053, 42024004, 42024006, 42024012, 42024013, 42024022, 42024023, 42024033, 42024041, 42024044, 42024050, 42024052, 
tur_13	42003016, 42003018, 42005015, 42005023, 42005027, 42006042, 42007028, 42007042, 42007043, 42008018, 42008049, 42009042, 42010001, 42010012, 42010014, 42010035, 42011013, 42011022, 42011026, 42011031, 42011032, 42012007, 42012018, 42012023, 42012024, 42012028, 42012048, 42012049, 42013002, 42013004, 42014008, 42014010, 42014022, 42014032, 42015007, 42016008, 42016017, 42017002, 42018014, 42018039, 42019016, 42019026, 42020047, 42021003, 42022016, 42022018, 42022027, 42022044, 
xav_100	42002039, 42002043, 42003021, 42007018, 42007020, 42011039, 42014031, 42015020, 42016005, 42016007, 42018022, 42019029, 
yua_74	42006023, 42006026, 42007008, 42009045, 42014022, 42016031, 42019009, 42023031, 42024041, 
zai_66	42001049, 42001056, 42002036, 42002044, 42003018, 42003021, 42008049, 42008051, 42009017, 42009034, 42009039, 42010030, 42011027, 42012004, 42012045, 42013035, 42014022, 42014028, 42014032, 42015020, 42016028, 42017018, 42018005, 42018008, 42018019, 42018030, 42020040, 42022047, 42022065, 42022071, 42023012, 42024006, 42024008, 42024022, 42024031, 42024036, 42024051, 
zai_67	42002029, 42006021, 42006025, 42007031, 42008017, 42008025, 42011026, 42011031, 42011050, 42011051, 42012052, 42012056, 42015030, 42016003, 42016025, 42017025, 42018030, 42020013, 42020017, 42021032, 42022034, 42022037, 42022069, 42023005, 42023035, 42024022, 
